2772140449/620251143860432896: 36823/619998844999352320
1067544265/620249462326358016: 1517872886/620246624191647744
16164636/620248832362827776: 334921581/620247995016200193
1534557020/620246976852955136: 62733027/619950390390329344
3062651885/620244284009238528: 14066700/620108159206559744
2150204136/620243436948447232: 2834488287/620080082669969408
9660102/620238433735307264: 16321634/620237740580323328
833486484/620234181818322944: 817386/None
21791254/620191545489272832: 21791254/620189979281653760
33165799/620158669242548224: 807095/620152154377048064
370827550/620154352104284160: 26025129/620153866638602240
716501756/620152674768527360: 716501756/583528582540038145
41614490/620128269518569472: 17614726/619719379719065601
49180622/620127965972692992: 807095/None
13133342/620119175273406464: 36231371/620117401896681472
13133342/620119026501419008: 380329513/620022624152895489
746578496/620107360774721536: 237430424/620106131990429696
178286779/620106095931977728: 16012783/619931461899128832
2418700632/620094411670564864: 409462343/None
3255301818/620087044270747648: 76118161/619902870805213184
50771752/620061109958144000: 293621067/620060835881168896
14426341/620060595530825728: 348174495/None
83942427/620058032165130240: 811377/None
24947501/620052385814200320: 31192483/619655542366060544
20237809/620048481248497664: 20237809/620048353624256512
20113097/620043909058555904: 20113097/620043530002509824
18137723/620042605242351616: 5740542/620040251596271617
25786620/620041396729200640: 25786620/620027985433886720
174950408/620034585527607296: 18359716/619624630916001797
2375921599/620030825267089408: 17097703/620030515261734912
138526255/620029001579524097: 15951667/620028902245838848
899051748/620027241511145472: 421668030/620026423110021120
2447227748/620023219765014528: 58605323/None
201131101/620019124392099840: 75050644/620014431083167744
319827043/620018738193145856: 807095/None
2774259512/620018631150153728: 1376303090/620007269606912000
519104565/620017662937198593: 71749057/620017106436796416
350958595/620016711526424576: 2353828890/620016406906601472
197952931/620016656060940288: 3033998948/620016109429723136
14272347/620010118990553089: 1590554522/619969108948316160
14272347/620009983187423232: 1590554522/619969108948316160
21171681/620008441151488000: 2353828890/620008320703696896
39174041/620008170128297984: 39174041/620007607206604800
2752897908/620007057425457152: 1319329693/620006497292976128
55851119/620006645196849153: 13184372/620006460735393793
2297143668/620006419236978688: 2297143668/620006302987763712
2582687036/620005910849712128: 2956069390/620004099833098240
3302600549/619998681929003008: 2788784622/619997043625492480
112614146/619993938858897408: 76118161/619902870805213184
380365554/619993364721725440: 19040598/None
2802424662/619991233457303552: 2802424662/619991002690908161
2802424662/619988241928720384: 58661424/619982730135248896
2826808466/619986474612621313: 2826808466/619892813728124933
19200634/619984627156037632: 161163311/619984425120571393
161163311/619984425120571393: 161163311/619979610718085121
385348343/619983580614262784: 176555865/619983093089222656
1466274925/619979201211318272: 1468580785/None
741803/619971886240280576: 741803/619971329765150720
2899960626/619959765284696065: 149913262/619660500503105536
7193622/619959466755100672: 1386831/619959255924215808
240185280/619958670466662400: 42703075/None
88581667/619955607097974785: 811377/None
138526255/619951419974647808: 1861439480/619951363917787140
3302600549/619950002916466688: 3033998948/619949507388665856
2617912764/619949820967526400: 17264476/619949330913435648
977374076/619949154635284480: 22025945/619948948703289345
1462985791/619945031974023168: 1462985791/619943435475128320
221278284/619943890439680000: 544696041/619942819759681536
24229562/619943340813996033: 807095/None
2253460652/619940981610184704: 2253460652/None
590438347/619939790700417024: 19084990/619933929852657665
25951456/619938108809723904: 6655612/619716221315846144
95630836/619937358868148224: 6655612/None
60367635/619934845649711104: 60367635/619917219728871424
424087650/619933507540783104: 2857905234/619932708844638208
424087650/619932927695024128: 424087650/619932102163742724
424087650/619932102163742724: 424087650/619929877622358016
17773905/619931857568690176: 35159685/619853826388967424
2742066725/619930339532632064: 291911739/None
424087650/619929877622358016: 424087650/619927769464504321
187688769/619927667706589185: 187688769/619925482058960896
1626691856/619924918826741760: 19040598/None
2997723990/619924802007011328: 1954842048/619924302540845056
2253460652/619920082743881728: 2253460652/None
201164872/619918980845715456: 1362509840/None
1534557020/619915565503680514: 62733027/619913690427424768
236058338/619915298695544832: 177422934/None
177422934/619915294098636800: 177422934/None
811747524/619915288578949120: 177422934/None
567281967/619915275157155840: 177422934/None
60140898/619915020223270912: 397536017/619911179901665280
73256403/619914504923705345: 120011359/619914336153157632
2173305120/619913925681807360: 807095/None
138526255/619909980532158464: 65848705/619909955387265024
450748396/619908811365707776: 807095/None
356666572/619905296010473472: 2244340904/None
14128069/619903842797387776: 224428671/619903371575734273
249916478/619902241974190080: 162626389/619900429158207488
325574805/619901389230186496: 299364430/619898255548116992
2253460652/619901165308751872: 2253460652/None
28618036/619897872620892160: 28618036/619897200819204096
328026251/619896621640200192: 14835756/None
1560747313/619892515513044992: 195738329/None
138526255/619892261841711105: 3217382622/619892225690968065
1488958986/619886021853904900: 14539324/None
88990581/619885998718210049: 2473845607/None
236058338/619884045317464064: 177422934/None
177422934/619884042272403457: 177422934/None
811747524/619884040338829313: 177422934/None
567281967/619884025109348353: 177422934/None
17890215/619883743528923136: 14834340/619644769267007489
143188462/619883123560574976: 811377/None
12768112/619877834396307457: 595189003/619868721142566913
684743/619877533102661642: 2903290616/619876953756012545
886491/619875895797485569: 6655612/None
35231502/619875468683177985: 2877212173/619875080194002944
65032455/619875365184520192: 2353828890/619875088750350337
2168342149/619873362894925824: 397051304/619872029596999680
82516346/619872904843558912: 15496316/619872708575236097
886491/619871902975295489: 27924593/619623988193439744
1957995386/619870138494504960: 39150183/None
26871837/619868369420849153: 13461/619627313840328705
92995077/619865647950921728: 244395868/None
91451652/619862357259366400: 1165119776/619701009934213120
489550225/619859518860718080: 807095/None
14075274/619854719977136128: 17264476/619707433192157184
21500578/619853089835778048: 10876852/619847681935081472
37056992/619852017679216640: 22363802/619786956290002944
22184018/619851135504003072: 14293310/619843628198969344
77309590/619845952661270529: 553913764/619844231524282371
448203900/619845703997616128: 14293310/619843628198969344
994074914/619844657976082432: 2915783405/619842003119964160
105497418/619843640026886144: 2242882424/619842909484003328
2600439722/619839388357390336: 24454130/None
2425839935/619836080192262144: 807095/None
3257311784/619832440052391936: 1345580348/619697533737127936
751021915/619824693432848384: 2176530104/619824479972274176
1270239397/619823533682593792: 1270239397/619823532046880768
14179278/619823509989142528: 14179278/619823414195429377
15072741/619823013014413312: 14749486/None
15072741/619822941073764352: 14929587/None
15072741/619822892583374848: 3829151/None
41771011/619821882674663424: 19040598/619703358547447808
2826276985/619819658439331841: 92013892/619813497577213952
1270239397/619818506788319233: 1270239397/619818504913489921
3253705249/619817856385941504: 108424124/619732476777398272
2439322038/619815720180948992: 18510860/619634332248899584
1270239397/619813466547728384: 1270239397/619813464819695616
38169764/619811743716372480: 106392661/None
70638100/619809573214531584: 811377/None
1270239397/619808459693756417: 1270239397/619808457839898624
2365491272/619802880329932800: 73190286/None
37942062/619796541600059393: 18816166/619617246231592961
122475762/619792446592024576: 16973333/619788819974516736
38169764/619791038845071360: 106392661/None
2393620658/619789616762105856: 6160792/619621056484147200
2967967408/619787383714746368: 811377/None
2576517199/619787382364237824: 811377/None
2376846950/619787381034602496: 811377/None
2317412610/619787378929086464: 811377/None
2833904135/619787377184272384: 811377/None
2359454982/619787377096159232: 811377/None
2359478239/619787374399254528: 811377/None
964612026/619787372604059648: 811377/None
2151378092/619782850993385472: 15666380/None
2280840810/619782431332270080: 811377/None
21676813/619775767245819904: 2899605256/619649233201852416
38169764/619774285834354689: 106392661/None
3171243505/619771875506270209: 3033998948/619771120074428416
2872051883/619769428457209858: 2872051883/619768919180640256
244952942/619769048008667136: 16343974/619768113492443136
185101722/619767961235128320: 185101722/619767547622240256
60032915/619767464415506432: 60032915/619767205605969920
1406820901/619765811922599936: 139292752/619504062287876096
14562685/619765480040046592: 16317567/619652044652212224
3006726667/619765299886358528: 19040598/None
43943424/619763458557370368: 61166489/619677678187204608
5869402/619762783207456768: 5869402/619520600265113600
3156970363/619761348164091904: 6655612/None
34536119/619754869579100160: 816653/619752851921698816
214872113/619754648593936385: 2735591/619752383824965633
424087650/619750886437355521: 424087650/619739743048220673
2207915253/619745377382739968: 2596659379/None
24350287/619743815851573248: 158451341/619742727853346816
18226468/619741629159768066: 14389284/None
138006757/619740763958718464: 16609029/619739339367395328
424087650/619739743048220673: 424087650/619733427705655297
420218116/619736862521831424: 108252113/619720441964331008
101280976/619735039631339520: 424087650/619733427705655297
424087650/619733427705655297: 424087650/619731198382747652
860575400/619731047035588608: 2796417967/619730724942430208
38169764/619729883590098944: 106392661/None
732796735/619729186702258177: 732796735/619727053798031360
3166134681/619728190085419008: 1278958116/619727576316166145
303635804/619727769753116674: 303635804/619727550068101124
732796735/619727053798031360: 732796735/619726121525837828
2837850951/619726674217824256: 287492573/619718411015335936
1406820901/619725410733981696: 83339474/619722009656725504
930938994/619725208316805120: 2544129398/None
38772269/619724523563188224: 83339474/619722009656725504
1069307922/619723681590153221: 16225571/619723417567281152
35277914/619723096920948736: 2775294374/619722316998647808
122209166/619720988343799809: 322430128/619641707441688576
14468334/619720636894588928: 4243041/619693740190384128
183508700/619719418969477120: 3103605770/619687982518435841
1639297464/619717917240721408: 25053299/None
2370636901/619716986759680000: 807095/619653611161821184
280527457/619715808890126337: 1965456318/619715575170777088
1965456318/619715575170777088: 1214998963/619715470204141568
51967060/619714480637739008: 3075275410/619682103999991808
31006289/619714064424435712: 811377/None
32069867/619713432099647489: 18300309/None
3215485769/619711557140787200: 2177898629/619708549770444800
140614150/619711172921704449: 2860848579/619708588798382081
17073304/619710817089495040: 1344951/619702790387068928
1349927587/619710654719635460: 99608225/619707047370719232
73204793/619710587694673921: 616852797/619710118087819265
43153535/619709556634054656: 43153535/619708803605508096
43153535/619708803605508096: 1220052816/619657976861851650
1569727724/619707323234136064: 2810864653/619706419953078273
3289607656/619707301528739841: 103932106/619706753878376448
45092362/619707112751403009: 149913262/619617418906742784
3231364086/619705010062913536: 122711186/619622281816489986
68956490/619704750674571264: 2706648974/619703099540799488
2706648974/619703099540799488: 3265542242/619628751421202432
1271726455/619702779729162241: 1271726455/619702778135318529
587097572/619702503907549184: 538647527/None
14140265/619700995098947584: 562393058/619618763906793472
579381550/619699284724858880: 149913262/619660500503105536
428991587/619699208325468160: 198682261/610205159428243457
16890839/619698891865198592: 22634164/619696629101240320
201681546/619698822697062400: 355538861/619698110617526272
1271726455/619697758572670976: 1271726455/619697756647493632
1305509970/619697750888677376: 1305509970/619697749244510208
45861294/619697211203457024: 16906660/619696874417577984
16906660/619696874417577984: 3035375208/619696213328138241
3104016601/619695210218438656: 154376291/619677566736142338
16634612/619694317762842624: 17097703/619693621843902465
16310672/619693972261244928: 372988011/619690117440110592
47500268/619693845844987904: 22573991/619686225511882753
607578578/619693714387021824: 346413206/619691911402487808
767057090/619693543334936576: 2806440544/619693369128652800
1271726455/619692708676800512: 1271726455/619692706902597632
1305509970/619692701538086912: 1305509970/619692700023943168
1222903296/619692145339793408: 1344951/None
391759144/619692141112000513: 1344951/None
1012278037/619691026731638784: 22025945/619690791838064640
1230080953/619689858118852612: 1230080953/619649936032968706
359064899/619689508674494464: 359064899/619688579522916352
926043565/619689125516447744: 28785486/619687828109160448
2946034450/619687933050814466: 2571342366/619687516292026368
1271726455/619687682680094720: 1271726455/619687680763297792
1734836569/619686506698010626: 3182143908/619684691147296768
180705338/619685435657318400: 29145455/None
1249578344/619685042168709120: 37034483/619680589910667264
176898389/619684316881227776: 468531094/None
499452644/619683946645688320: 15840592/619666735399104513
3244429003/619683873111146497: 2824369716/619683267785162752
3065846395/619682948808204288: 2779948963/619682363795238912
2744002243/619682934052642817: 2705002822/619682459886710784
1180025371/619682667835953153: 1180025371/619682666237968384
1271726455/619682645245427712: 1271726455/619682643454504960
371427945/619682516329365504: 1605/None
2340949890/619682334866976768: 106177076/None
130742691/619680323480129536: 29026489/619676431564455936
392420400/619679056494206976: 392420400/619678875094765568
392420400/619678169126334464: 2212879538/619677114703310848
1180025371/619677637091291136: 1180025371/619677635476467712
1270239397/619677573740494848: 1270239397/619677572188667904
373711172/619677361529860096: 226316551/619676711882485760
237430424/619677320173891584: 237430424/619677081849298944
421850617/619677089873174528: 102815506/619672595844202496
632440780/619676888399613952: 724915740/None
509575447/619676886382174208: 724915740/None
2253460652/619675880227344384: 2253460652/None
352125063/619675378143985664: 58330119/619674834285514752
174431911/619675087642447872: 500403310/619674846721474569
1222903296/619675059871838208: 1344951/None
391759144/619675053773320192: 1344951/None
370392513/619674376133320704: 374636582/619674163943469056
9637422/619674296399609856: 94909401/619671725454667776
374636582/619674163943469056: 1344951/619665467087679488
2842878112/619672838698483713: 11928542/None
470727248/619672819744567296: 1344951/None
2512913730/619672813146927105: 284233472/None
2230368257/619672756917940224: 583122471/None
2340949890/619672706494021632: 106177076/None
2340949890/619672703536988161: 106177076/None
548495926/619672657676492800: 325341644/None
1270239397/619672536838635520: 1270239397/619672535228002304
70335795/619672418156703744: 2421423498/None
2845698234/619671973820366848: 14835756/619671408919060480
14360516/619671490783539201: 19040598/619624929449934848
12473732/619671123303600128: 1344951/619665467087679488
808596350/619671016982183936: 428333/619621336084824064
87498111/619670692104044544: 2913722920/619669367572275201
2571342366/619670681769283584: 3303005145/619670346493480960
352125063/619670654585958400: 2888472163/619669486539411456
2431274869/619669682056859648: 2431274869/619669536908808192
632440780/619669605921878016: 724915740/None
509575447/619669603820552192: 724915740/None
632440780/619669468159979520: 724915740/None
509575447/619669462384574464: 724915740/None
18950635/619669254451822592: 14997525/619513115064070145
352125063/619669140517683200: 58330119/619665573077733376
466103724/619667797681946625: 160123057/None
124843066/619667520572796929: 2782914858/619635487846846464
43160285/619667188543266816: 14293310/619666961266556932
587977882/619666977288777730: 19880868/619666549339746304
34350026/619666605165801472: 401100661/None
3273356672/619666142148304896: 1344951/619665467087679488
2579483762/619663768834977793: 2779948963/619650795030642688
468531094/619662925658222592: 468531094/None
3090690553/619662834893520896: 3075522872/None
1448211/619662461512368132: 68301106/None
1448211/619661568322760704: 27055447/None
14655542/619661566611320832: 14655542/608846462370250752
1237740068/619661026548518912: 15012486/619649868248809472
2862243052/619660462121185280: 12589692/619660194411220992
722708881/619660227059683328: 807095/619653611161821184
3080844773/619660023552208900: 2270894426/619659715572834304
2920046630/619659609402310656: 98588767/619635937144897536
2866603142/619659284184498176: 2866603142/None
17060573/619658940016627713: 6160792/None
126127866/619658666313166848: 2735591/None
422372738/619658522620358656: 25779036/None
331258163/619658521223766016: 501872916/None
2891755324/619658519818579968: 2891755324/None
981802260/619658160412823552: 48102867/None
14837755/619658093354438657: 807095/619617591422779392
1366925047/619657034875699200: 47387185/619655047530590208
474217291/619656783011803136: 146712559/None
33396508/619656490282921984: 3066084185/619625565767794692
2782914858/619656211676438528: 2353828890/619655873917419521
2926458380/619655307975766017: 2926458380/None
355007450/619655061539418113: 2740475695/None
552211547/619654712078561280: 149913262/619643967567589376
